Name,Type,Cat,latitude,longitude,isObserved
0042+323,T,"U,M,A,AS,R,B,X",33.02138889,11.2099664,TRUE
J0422+32,T,"C,Gr,R,K,AS,X",32.79,64.6245634,FALSE
0512-401,GB,"U,M,A,H,G,Exo",-40.04361111,78.5274956,FALSE
0521-720,Z?,"U,M,A,H,X,R",-71.96,80.1216472,TRUE
J0532.7-6926,0,R,-69.43833333,83.1783048,TRUE
0614+091,AB,"U,M,A,H,S,Gr,E,Exo,X,B",9.136944444,94.2804118,TRUE
0620-003,TU,"A,S,R",0,95.685387,FALSE
0656-072,T,A,-7.263888889,104.612482,FALSE
0748-676,TBD,"Exo,AS,R,G,X",-67.7525,117.1408108,TRUE
J0835.9+5118,TB,B,51.31,128.983296,TRUE
0836-429,TB,"U,M,Gr,G,R",-42.88583333,129.345818,TRUE
0918-549,0,"U,M,A,H,S",-55.20666667,140.1116488,FALSE
0921-630,D,"A,S,Exo",-63.295,140.6445602,FALSE
1009-45,TU,"C, AS, Gr",-45.07638889,153.399976,TRUE
J1118+480,TA?,"AS,X,C",48.03691667,169.5452011,TRUE
1124-684,TU,"Gr,G,C",-68.67583333,171.6112322,TRUE
1254-690,BD,"U,M,A,H,S,X,G",-69.28916667,194.4049752,FALSE
1323-619,BD,"U,M,A,B",-62.13611111,201.6503926,FALSE
1354-645,TU,"M,G,X",-64.73472222,209.5404102,TRUE
1455-314,TB,"V,A,Ha,AS,B,R",-31.66888889,224.591652,TRUE
1516-569,TBA,"U,M,A,H,S,AS,X",-57.16694444,230.1703894,TRUE
1524-617,TU,"A,S,R.Gr",-61.88277778,232.0716552,FALSE
1543-475,TU,"U,M,T,C",-47.66944444,236.7858276,FALSE
1543-624,0,"U,M,A,H,S,Exo",-62.56805556,236.9782968,TRUE
J1550-564,T,"X,AS,C",-56.47638889,237.7448775,TRUE
1556-605,0,"U,M,A,H,S",-60.73805556,240.2595818,TRUE
1603.6+2600,0,"E,R",25.8625,241.4408028,FALSE
J1603.9-7753,TB,B,-77.885,240.974964,FALSE
1608-522,TBA,"U,M,H,S,AS,C,X",-52.42305556,243.179138,TRUE
1617-155,Z,"U,M,A,H",-15.64027778,244.9795466,TRUE
1624-490,D,"U,M,A,H,S,X,B",-49.19027778,247.0099984,TRUE
1627-673,P,"U,M,A,H,S,B,R,AS,C,X,Exo",-67.46194444,248.0699888,FALSE
1630-472,TUD,"U,M,A,C,X,B,G,E",-47.39416667,248.5016664,FALSE
1632-477,0,K,-47.82694444,249.116648,TRUE
1636-536,BA,"U,M,A,H,S,X,Exo",-53.75138889,250.231213,TRUE
1642-455,Z,"U,M,A,H,S,X",-45.61111111,251.4487182,TRUE
J1655-40,TD,"C,AS,X,R,Gr",-39.84580556,253.5005707,FALSE
1656+354,P,"U,M,A,H,G,X,B,AS",35.3425,254.4574668,FALSE
1658-298,TBD,"A,H,X",-29.94583333,255.5262458,TRUE
1659-487,TU,"U,M,A,H,K,B,X,C",-48.78972222,255.706217,TRUE
1702-363,Z,"U,M,A,H,S,X",-36.42277778,256.435387,TRUE
1702-429,BA,"U,M,S,X",-43.03611111,256.5637398,FALSE
1704+240,0,"A,H,R",23.97166667,256.6441436,FALSE
1705-250,T,"A,H",-25.09138889,257.0608236,TRUE
1705-440,BA,"U,M,A,S",-44.10055556,257.2278802,TRUE
1708-408,0,"U,M,A,H",-40.84333333,258.095818,TRUE
J1709-267,TB,"X,R,B",-26.6575,257.3758132,FALSE
J1710-281,TB(?),"X,R",-28.13166667,257.5512418,FALSE
1711-339,T,"H,S,R",-34.04944444,258.5799872,TRUE
J1712.6-3739,TB,B,-37.64333333,258.141644,TRUE
1715-321,B,"M,A,H,S",-32.17777778,259.6974684,TRUE
1716-249,T,"Gr,K,C,AS",-25.0175,259.9037254,FALSE
J171824.2-402934,B,"R,B",-40.49177778,259.6005256,FALSE
J1723-376,TB,"X,AS",-37.66166667,260.908308,TRUE
1724-356,0,K,-35.73444444,261.912474,TRUE
1724-307,GBA,"E,X,AS,B,R",-30.80194444,261.8883112,TRUE
1728-337,BA,"U,M,A,H,S,C,X",-33.83472222,262.9891284,FALSE
1728-169,A,"U,M,A,H,S",-16.96166667,262.9341372,FALSE
1728-247,P,"U,M,A,H,S",-24.74555556,263.0091652,TRUE
1730-312,T,"K,Gr",-31.21666667,263.383312,TRUE
1730-335,GBT,"S,X,AS,Exo",-33.38777778,263.3504006,TRUE
1730-220,T,U,-22.03527778,263.487462,FALSE
1731-260,BT,"K,X,Gr,R",-26.08583333,263.554158,FALSE
1732-304,GB,"Ha,B,Gr,H,R,Exo",-30.48222222,263.9483016,TRUE
1732-273,TU,"K,G",-27.42583333,264.008332,TRUE
1734-292,0,Gr,-29.18,264.35415,TRUE
1735-269,B,"SL,X,R,AS,B",-27.00444444,264.566656,FALSE
1735-444,BA,"U,M,A,H,S,B,X",-44.45,264.7428778,FALSE
1735-28,T,"U,M",-28.48333333,264.641644,TRUE
1736-297,0,Gr,-29.72388889,264.887478,TRUE
1737-31,T,"Gr,C,X,AS,B",-30.98333333,264.983296,TRUE
1737-282,0,SL,-28.31,265.237462,FALSE
1739-278,T,"Gr,K,X,R",-27.78305556,265.654142,FALSE
1739-304,0,K,-30.51416667,265.683304,TRUE
1740-294,T(?),0,-29.43333333,265.945802,TRUE
1740.7-2942,0,"E,X,C,R,AS,Gr",-29.74527778,265.9778802,TRUE
1741.2-2859,0,G,-29.0125,266.1058164,FALSE
1741-293,TB,"K,B,X",-29.35166667,266.204134,FALSE
1741-322,TU,H,-32.22722222,266.258332,TRUE
1741.9-2853,TB,"Gr,B",-28.90166667,266.254166,TRUE
1742-326,0,Exo,-32.69416667,266.370814,TRUE
1742.2-2857,0,E,-28.98333333,266.3608156,FALSE
1742-294,B(T?),"A,S,AS,Gr,E,K",-29.45,266.404142,FALSE
1742-289,TB(?),A,-29.01861111,266.404142,TRUE
1742.5-2859,0,"E,R",-29.00305556,266.4195562,TRUE
1742.5-2845,0,E,-28.78138889,266.4287214,TRUE
1742.7-2902,0,E,-29.05611111,266.4703814,FALSE
1742.8-2853,0,E,-28.91361111,266.5,FALSE
1742.9-2852,0,E,-28.88694444,266.5204134,TRUE
1742-294,B,"A,Gr",-29.51833333,266.5258292,TRUE
1742.9-2849,0,E,-28.85111111,266.5404102,TRUE
1743.1-2843,0,"E,AS,B",-28.73527778,266.5799872,FALSE
1743.1-2852,0,E,-28.89527778,266.581237,FALSE
1743-288,TB,"A,B,X",-28.89472222,266.695802,TRUE
1744-299,0,"SL,B",-29.99527778,266.8570662,TRUE
J1744-28,TBP,"C,K,AS,X,Gr",-28.74138889,266.1378946,TRUE
1744-300,B,"SL,B",-30.04194444,266.8578994,FALSE
1744-265,BA,"U,M,A,H,S,G,X",-26.56361111,266.983296,FALSE
1744-361,T,A,-36.13138889,267.0558244,TRUE
J1745.6-2901,TB,"AS,B",-29.02611111,266.399976,TRUE
1745-248,TGB,"Ha,Exo",-24.89444444,267.233296,TRUE
1745-203,GT,"U,M",-20.36722222,267.222881,FALSE
1746-331,U,"SL,R",-33.19861111,267.4607996,FALSE
1746.7-3224,0,E,-32.42861111,267.514581,TRUE
1746-370,GBA,"U,M,A,H,S,X,B",-37.05222222,267.5529082,TRUE
1747-214,TB,Exo,-21.4225,267.6070662,TRUE
1747-313,G,"R,Gr,B,X",-31.29222222,267.689553,FALSE
J1748-288,T,"X,B,I",-28.47383333,267.02108,FALSE
J1748.9-2021,TGB,"B,X,R(?)",-20.36194444,267.2224644,TRUE
1749-285,T,"SL,A",-28.50611111,268.066656,TRUE
J1750.8-2900,TB,"B,X",-29.03833333,267.599984,TRUE
J1752.3-3138,B,B,-31.62833333,268.099984,FALSE
1755-338,DU,"U,M,A,H,S,R,G",-33.8075,269.66664,FALSE
J1755-324,T,"X,Gr",-32.4775,268.8691476,TRUE
1758-250,Z,"U,M,A,H,S",-25.07916667,270.2841612,TRUE
1758-258,U,"Gr,X,C,R,AS",-25.74055556,270.3029082,TRUE
1758-205,A,"U,M,A,H,S",-20.52888889,270.3845618,FALSE
1803-245,T,S,-24.5875,271.7091332,FALSE
J1806-246,TB(?)A,X,-24.585,271.712466,TRUE
J1808.4-3658,TPB,"B,X",-36.97897222,272.1147316,TRUE
J1810.8-2609,TB,"B,R",-26.15027778,272.685387,TRUE
1811-171,AB,"U,M,A,H,S,X",-17.15722222,273.6295626,FALSE
1812-12,B,"M,A,H,B",-12.08333333,273.799992,FALSE
1813-140,ZB,"U,M,A,H,S,Exo",-14.03638889,274.0058324,TRUE
J1819.3-2525,T,"B,X",-25.42666667,274.8394857,TRUE
1820-303,GBA,"U,M,A,H,S,X,B,R",-30.36138889,275.9191396,TRUE
1822-371,D,"U,M,A,H,B",-37.10527778,276.4449688,FALSE
1822-000,0,"U,M,A,H,S",0,276.3420686,FALSE
1826-238,TB,"G,B,X",-23.79138889,277.362482,TRUE
1832-330,GB,"R,X,AS",-32.98194444,278.933304,TRUE
1837+049,B,"U,M,A,H,S",5.035833333,279.989545,TRUE
1846-031,TU,Exo,-3.062222222,282.3212386,FALSE
1850-087,GB,"U,A,H,S,B",-8.705555556,283.2704134,FALSE
J1856+053,T,"X,C",5.33,284.162474,TRUE
J1859+226,T,"X,C,B",22.65816667,284.6732223,TRUE
1905+000,B,"U,A,H,S",0,287.112482,TRUE
1908+005,TBA,"U,M,A,S,X,C,G",0,287.816656,FALSE
1915+105,TB,"Gr,B,X,C,I,AS",10.96833333,288.820822,FALSE
1916-053,BD,"U,M,A,H,S,R,AS,B,X,C",-5.235833333,289.699968,TRUE
1918+146,T,"U,A",14.69416667,290.070822,TRUE
1940-04,B,Ha,-3.9,295.658308,TRUE
1957+115,U,"U,M,A,H,S,X,G,Exo,AS",11.70833333,299.849984,FALSE
2000+251,TU,"G,R",25.23666667,300.7066336,FALSE
J2012+381,TU,"X,AS",38.18363889,303.1574748,TRUE
2023+338,TU,"G,X,K",33.86777778,306.0158308,TRUE
J2123-058,TBA,X,-5.798027778,320.8105736,TRUE
2127+119,GB,"U,M,A,H,X",12.1675,322.4928778,FALSE
2129+470,B,"U,M,A,H,R",47.29,322.8591492,FALSE
2142+380,ZB,"U,M,A,H,X,B,G",38.32166667,326.1716392,TRUE
2318+620,0,"U,A",62.2925,350.1420606,TRUE
